=======================================================================================
GAME SETTINGS DATA FILE
=======================================================================================

Maximum Number Of Systems:
  Number of Systems the galaxy can contain. The maximum value for this
  setting is 255. 

=======================================================================================
*BEGIN*
=======================================================================================

Allow CD Music                                                        := TRUE
Pop Modifier 2 SY Rate Modifier Percent                               := 101
Pop Modifier 3 Population Amount                                      := 59
Pop Modifier 3 Production Modifier Percent                            := 102
Pop Modifier 3 SY Rate Modifier Percent                               := 102
Pop Modifier 4 Population Amount                                      := 79
Pop Modifier 4 Production Modifier Percent                            := 103
Pop Modifier 4 SY Rate Modifier Percent                               := 103
Pop Modifier 5 Population Amount                                      := 99
Pop Modifier 5 Production Modifier Percent                            := 104
Pop Modifier 5 SY Rate Modifier Percent                               := 104
Pop Modifier 6 Population Amount                                      := 179
Pop Modifier 6 Production Modifier Percent                            := 105
Pop Modifier 6 SY Rate Modifier Percent                               := 105
Pop Modifier 7 Population Amount                                      := 259
Pop Modifier 7 Production Modifier Percent                            := 106
Pop Modifier 7 SY Rate Modifier Percent                               := 106
Pop Modifier 8 Population Amount                                      := 339
Pop Modifier 8 Production Modifier Percent                            := 107
Pop Modifier 8 SY Rate Modifier Percent                               := 107
Pop Modifier 9 Population Amount                                      := 419
Pop Modifier 9 Production Modifier Percent                            := 108
Pop Modifier 9 SY Rate Modifier Percent                               := 108
Pop Modifier 10 Population Amount                                     := 499
Pop Modifier 10 Production Modifier Percent                           := 109
Pop Modifier 10 SY Rate Modifier Percent                              := 109
Pop Modifier 11 Population Amount                                     := 549
Pop Modifier 11 Production Modifier Percent                           := 110
Pop Modifier 11 SY Rate Modifier Percent                              := 110
Pop Modifier 12 Population Amount                                     := 599
Pop Modifier 12 Production Modifier Percent                           := 111
Pop Modifier 12 SY Rate Modifier Percent                              := 111
Pop Modifier 13 Population Amount                                     := 649
Pop Modifier 13 Production Modifier Percent                           := 112
Pop Modifier 13 SY Rate Modifier Percent                              := 112
Pop Modifier 14 Population Amount                                     := 699
Pop Modifier 14 Production Modifier Percent                           := 113
Pop Modifier 14 SY Rate Modifier Percent                              := 113
Pop Modifier 15 Population Amount                                     := 749
Pop Modifier 15 Production Modifier Percent                           := 114
Pop Modifier 15 SY Rate Modifier Percent                              := 114
Pop Modifier 16 Population Amount                                     := 799
Pop Modifier 16 Production Modifier Percent                           := 115
Pop Modifier 16 SY Rate Modifier Percent                              := 115
Pop Modifier 17 Population Amount                                     := 849
Pop Modifier 17 Production Modifier Percent                           := 116
Pop Modifier 17 SY Rate Modifier Percent                              := 116
Pop Modifier 18 Population Amount                                     := 899
Pop Modifier 18 Production Modifier Percent                           := 117
Pop Modifier 18 SY Rate Modifier Percent                              := 117
Pop Modifier 19 Population Amount                                     := 949
Pop Modifier 19 Production Modifier Percent                           := 118
Pop Modifier 19 SY Rate Modifier Percent                              := 118
Pop Modifier 20 Population Amount                                     := 999
Pop Modifier 20 Production Modifier Percent                           := 119
Pop Modifier 20 SY Rate Modifier Percent                              := 119
Pop Modifier 21 Population Amount                                     := 1099
Pop Modifier 21 Production Modifier Percent                           := 120
Pop Modifier 21 SY Rate Modifier Percent                              := 120
Pop Modifier 22 Population Amount                                     := 1199
Pop Modifier 22 Production Modifier Percent                           := 121
Pop Modifier 22 SY Rate Modifier Percent                              := 121
Pop Modifier 23 Population Amount                                     := 1299
Pop Modifier 23 Production Modifier Percent                           := 122
Pop Modifier 23 SY Rate Modifier Percent                              := 122
Pop Modifier 24 Population Amount                                     := 1399
Pop Modifier 24 Production Modifier Percent                           := 123
Pop Modifier 24 SY Rate Modifier Percent                              := 123
Pop Modifier 25 Population Amount                                     := 1499
Pop Modifier 25 Production Modifier Percent                           := 124
Pop Modifier 25 SY Rate Modifier Percent                              := 124
Pop Modifier 26 Population Amount                                     := 1599
Pop Modifier 26 Production Modifier Percent                           := 125
Pop Modifier 26 SY Rate Modifier Percent                              := 125
Pop Modifier 27 Population Amount                                     := 1699
Pop Modifier 27 Production Modifier Percent                           := 126
Pop Modifier 27 SY Rate Modifier Percent                              := 126
Pop Modifier 28 Population Amount                                     := 1799
Pop Modifier 28 Production Modifier Percent                           := 127
Pop Modifier 28 SY Rate Modifier Percent                              := 127
Pop Modifier 29 Population Amount                                     := 1899
Pop Modifier 29 Production Modifier Percent                           := 128
Pop Modifier 29 SY Rate Modifier Percent                              := 128
Pop Modifier 30 Population Amount                                     := 1999
Pop Modifier 30 Production Modifier Percent                           := 129
Pop Modifier 30 SY Rate Modifier Percent                              := 129
Pop Modifier 31 Population Amount                                     := 2099
Pop Modifier 31 Production Modifier Percent                           := 130
Pop Modifier 31 SY Rate Modifier Percent                              := 130
Pop Modifier 32 Population Amount                                     := 2199
Pop Modifier 32 Production Modifier Percent                           := 131
Pop Modifier 32 SY Rate Modifier Percent                              := 131
Pop Modifier 33 Population Amount                                     := 2299
Pop Modifier 33 Production Modifier Percent                           := 132
Pop Modifier 33 SY Rate Modifier Percent                              := 132
Pop Modifier 34 Population Amount                                     := 2399
Pop Modifier 34 Production Modifier Percent                           := 133
Pop Modifier 34 SY Rate Modifier Percent                              := 133
Pop Modifier 35 Population Amount                                     := 2499
Pop Modifier 35 Production Modifier Percent                           := 134
Pop Modifier 35 SY Rate Modifier Percent                              := 134
Pop Modifier 36 Population Amount                                     := 2599
Pop Modifier 36 Production Modifier Percent                           := 135
Pop Modifier 36 SY Rate Modifier Percent                              := 135
Pop Modifier 37 Population Amount                                     := 2699
Pop Modifier 37 Production Modifier Percent                           := 136
Pop Modifier 37 SY Rate Modifier Percent                              := 136
Pop Modifier 38 Population Amount                                     := 2799
Pop Modifier 38 Production Modifier Percent                           := 137
Pop Modifier 38 SY Rate Modifier Percent                              := 137
Pop Modifier 39 Population Amount                                     := 2899
Pop Modifier 39 Production Modifier Percent                           := 138
Pop Modifier 39 SY Rate Modifier Percent                              := 138
Pop Modifier 40 Population Amount                                     := 2999
Pop Modifier 40 Production Modifier Percent                           := 139
Pop Modifier 40 SY Rate Modifier Percent                              := 139
Pop Modifier 41 Population Amount                                     := 3099
Pop Modifier 41 Production Modifier Percent                           := 140
Pop Modifier 41 SY Rate Modifier Percent                              := 140
Pop Modifier 42 Population Amount                                     := 3199
Pop Modifier 42 Production Modifier Percent                           := 141
Pop Modifier 42 SY Rate Modifier Percent                              := 141
Pop Modifier 43 Population Amount                                     := 3299
Pop Modifier 43 Production Modifier Percent                           := 142
Pop Modifier 43 SY Rate Modifier Percent                              := 142
Pop Modifier 44 Population Amount                                     := 3399
Pop Modifier 44 Production Modifier Percent                           := 143
Pop Modifier 44 SY Rate Modifier Percent                              := 143
Pop Modifier 45 Population Amount                                     := 3499
Pop Modifier 45 Production Modifier Percent                           := 144
Pop Modifier 45 SY Rate Modifier Percent                              := 144
Pop Modifier 46 Population Amount                                     := 3599
Pop Modifier 46 Production Modifier Percent                           := 145
Pop Modifier 46 SY Rate Modifier Percent                              := 145
Pop Modifier 47 Population Amount                                     := 3699
Pop Modifier 47 Production Modifier Percent                           := 146
Pop Modifier 47 SY Rate Modifier Percent                              := 146
Pop Modifier 48 Population Amount                                     := 3799
Pop Modifier 48 Production Modifier Percent                           := 147
Pop Modifier 48 SY Rate Modifier Percent                              := 147
Pop Modifier 49 Population Amount                                     := 3899
Pop Modifier 49 Production Modifier Percent                           := 148
Pop Modifier 49 SY Rate Modifier Percent                              := 148
Pop Modifier 50 Population Amount                                     := 3999
Pop Modifier 50 Production Modifier Percent                           := 149
Pop Modifier 50 SY Rate Modifier Percent                              := 149
Pop Modifier 51 Population Amount                                     := 4099
Pop Modifier 51 Production Modifier Percent                           := 150
Pop Modifier 51 SY Rate Modifier Percent                              := 150
Pop Modifier 52 Population Amount                                     := 4199
Pop Modifier 52 Production Modifier Percent                           := 151
Pop Modifier 52 SY Rate Modifier Percent                              := 151
Pop Modifier 53 Population Amount                                     := 4299
Pop Modifier 53 Production Modifier Percent                           := 152
Pop Modifier 53 SY Rate Modifier Percent                              := 152
Pop Modifier 54 Population Amount                                     := 4399
Pop Modifier 54 Production Modifier Percent                           := 153
Pop Modifier 54 SY Rate Modifier Percent                              := 153
Pop Modifier 55 Population Amount                                     := 4499
Pop Modifier 55 Production Modifier Percent                           := 154
Pop Modifier 55 SY Rate Modifier Percent                              := 154
Pop Modifier 56 Population Amount                                     := 4599
Pop Modifier 56 Production Modifier Percent                           := 155
Pop Modifier 56 SY Rate Modifier Percent                              := 155
Pop Modifier 57 Population Amount                                     := 4699
Pop Modifier 57 Production Modifier Percent                           := 156
Pop Modifier 57 SY Rate Modifier Percent                              := 156
Pop Modifier 58 Population Amount                                     := 4799
Pop Modifier 58 Production Modifier Percent                           := 157
Pop Modifier 58 SY Rate Modifier Percent                              := 157
Pop Modifier 59 Population Amount                                     := 4899
Pop Modifier 59 Production Modifier Percent                           := 158
Pop Modifier 59 SY Rate Modifier Percent                              := 158
Pop Modifier 60 Population Amount                                     := 4999
Pop Modifier 60 Production Modifier Percent                           := 159
Pop Modifier 60 SY Rate Modifier Percent                              := 159
Pop Modifier 61 Population Amount                                     := 5099
Pop Modifier 61 Production Modifier Percent                           := 160
Pop Modifier 61 SY Rate Modifier Percent                              := 160
Pop Modifier 62 Population Amount                                     := 5199
Pop Modifier 62 Production Modifier Percent                           := 161
Pop Modifier 62 SY Rate Modifier Percent                              := 161
Pop Modifier 63 Population Amount                                     := 5299
Pop Modifier 63 Production Modifier Percent                           := 162
Pop Modifier 63 SY Rate Modifier Percent                              := 162
Pop Modifier 64 Population Amount                                     := 5399
Pop Modifier 64 Production Modifier Percent                           := 163
Pop Modifier 64 SY Rate Modifier Percent                              := 163
Pop Modifier 65 Population Amount                                     := 5499
Pop Modifier 65 Production Modifier Percent                           := 164
Pop Modifier 65 SY Rate Modifier Percent                              := 164
Pop Modifier 66 Population Amount                                     := 5599
Pop Modifier 66 Production Modifier Percent                           := 165
Pop Modifier 66 SY Rate Modifier Percent                              := 165
Pop Modifier 67 Population Amount                                     := 5699
Pop Modifier 67 Production Modifier Percent                           := 166
Pop Modifier 67 SY Rate Modifier Percent                              := 166
Pop Modifier 68 Population Amount                                     := 5799
Pop Modifier 68 Production Modifier Percent                           := 167
Pop Modifier 68 SY Rate Modifier Percent                              := 167
Pop Modifier 69 Population Amount                                     := 5899
Pop Modifier 69 Production Modifier Percent                           := 168
Pop Modifier 69 SY Rate Modifier Percent                              := 168
Pop Modifier 70 Population Amount                                     := 5999
Pop Modifier 70 Production Modifier Percent                           := 169
Pop Modifier 70 SY Rate Modifier Percent                              := 169
Pop Modifier 71 Population Amount                                     := 6099
Pop Modifier 71 Production Modifier Percent                           := 170
Pop Modifier 71 SY Rate Modifier Percent                              := 170
Pop Modifier 72 Population Amount                                     := 6199
Pop Modifier 72 Production Modifier Percent                           := 171
Pop Modifier 72 SY Rate Modifier Percent                              := 171
Pop Modifier 73 Population Amount                                     := 6299
Pop Modifier 73 Production Modifier Percent                           := 172
Pop Modifier 73 SY Rate Modifier Percent                              := 172
Pop Modifier 74 Population Amount                                     := 6399
Pop Modifier 74 Production Modifier Percent                           := 173
Pop Modifier 74 SY Rate Modifier Percent                              := 173
Pop Modifier 75 Population Amount                                     := 6499
Pop Modifier 75 Production Modifier Percent                           := 174
Pop Modifier 75 SY Rate Modifier Percent                              := 174
Pop Modifier 76 Population Amount                                     := 6599
Pop Modifier 76 Production Modifier Percent                           := 175
Pop Modifier 76 SY Rate Modifier Percent                              := 175
Pop Modifier 77 Population Amount                                     := 6699
Pop Modifier 77 Production Modifier Percent                           := 176
Pop Modifier 77 SY Rate Modifier Percent                              := 176
Pop Modifier 78 Population Amount                                     := 6799
Pop Modifier 78 Production Modifier Percent                           := 177
Pop Modifier 78 SY Rate Modifier Percent                              := 177
Pop Modifier 79 Population Amount                                     := 6899
Pop Modifier 79 Production Modifier Percent                           := 178
Pop Modifier 79 SY Rate Modifier Percent                              := 178
Pop Modifier 80 Population Amount                                     := 6999
Pop Modifier 80 Production Modifier Percent                           := 179
Pop Modifier 80 SY Rate Modifier Percent                              := 179
Pop Modifier 81 Population Amount                                     := 7099
Pop Modifier 81 Production Modifier Percent                           := 180
Pop Modifier 81 SY Rate Modifier Percent                              := 180
Pop Modifier 82 Population Amount                                     := 7199
Pop Modifier 82 Production Modifier Percent                           := 181
Pop Modifier 82 SY Rate Modifier Percent                              := 181
Pop Modifier 83 Population Amount                                     := 7299
Pop Modifier 83 Production Modifier Percent                           := 182
Pop Modifier 83 SY Rate Modifier Percent                              := 182
Pop Modifier 84 Population Amount                                     := 7399
Pop Modifier 84 Production Modifier Percent                           := 183
Pop Modifier 84 SY Rate Modifier Percent                              := 183
Pop Modifier 85 Population Amount                                     := 7499
Pop Modifier 85 Production Modifier Percent                           := 184
Pop Modifier 85 SY Rate Modifier Percent                              := 184
Pop Modifier 86 Population Amount                                     := 7599
Pop Modifier 86 Production Modifier Percent                           := 185
Pop Modifier 86 SY Rate Modifier Percent                              := 185
Pop Modifier 87 Population Amount                                     := 7699
Pop Modifier 87 Production Modifier Percent                           := 186
Pop Modifier 87 SY Rate Modifier Percent                              := 186
Pop Modifier 88 Population Amount                                     := 7799
Pop Modifier 88 Production Modifier Percent                           := 187
Pop Modifier 88 SY Rate Modifier Percent                              := 187
Pop Modifier 89 Population Amount                                     := 7899
Pop Modifier 89 Production Modifier Percent                           := 188
Pop Modifier 89 SY Rate Modifier Percent                              := 188
Pop Modifier 90 Population Amount                                     := 7999
Pop Modifier 90 Production Modifier Percent                           := 189
Pop Modifier 90 SY Rate Modifier Percent                              := 189
Pop Modifier 91 Population Amount                                     := 8199
Pop Modifier 91 Production Modifier Percent                           := 190
Pop Modifier 91 SY Rate Modifier Percent                              := 190
Pop Modifier 92 Population Amount                                     := 8399
Pop Modifier 92 Production Modifier Percent                           := 191
Pop Modifier 92 SY Rate Modifier Percent                              := 191
Pop Modifier 93 Population Amount                                     := 8599
Pop Modifier 93 Production Modifier Percent                           := 192
Pop Modifier 93 SY Rate Modifier Percent                              := 192
Pop Modifier 94 Population Amount                                     := 8799
Pop Modifier 94 Production Modifier Percent                           := 193
Pop Modifier 94 SY Rate Modifier Percent                              := 193
Pop Modifier 95 Population Amount                                     := 8999
Pop Modifier 95 Production Modifier Percent                           := 194
Pop Modifier 95 SY Rate Modifier Percent                              := 194
Pop Modifier 96 Population Amount                                     := 9199
Pop Modifier 96 Production Modifier Percent                           := 195
Pop Modifier 96 SY Rate Modifier Percent                              := 195
Pop Modifier 97 Population Amount                                     := 9399
Pop Modifier 97 Production Modifier Percent                           := 196
Pop Modifier 97 SY Rate Modifier Percent                              := 196
Pop Modifier 98 Population Amount                                     := 9599
Pop Modifier 98 Production Modifier Percent                           := 197
Pop Modifier 98 SY Rate Modifier Percent                              := 197
Pop Modifier 99 Population Amount                                     := 9799
Pop Modifier 99 Production Modifier Percent                           := 198
Pop Modifier 99 SY Rate Modifier Percent                              := 198
Pop Modifier 100 Population Amount                                    := 9999
Pop Modifier 100 Production Modifier Percent                          := 199
Pop Modifier 100 SY Rate Modifier Percent                             := 199
Pop Modifier 101 Population Amount                                    := 2000000
Pop Modifier 101 Production Modifier Percent                          := 200
Pop Modifier 101 SY Rate Modifier Percent                             := 200
Characteristic Physical Strength Max Pct                              := 150
Characteristic Physical Strength Min Pct                              := 50
Characteristic Physical Strength Pct Cost                             := 25
Characteristic Physical Strength Threshold                            := 20
Characteristic Physical Strength Threshhold Pct Cost Pos              := 100
Characteristic Physical Strength Threshhold Pct Cost Neg              := 10
Characteristic Intelligence Max Pct                                   := 150
Characteristic Intelligence Min Pct                                   := 50
Characteristic Intelligence Pct Cost                                  := 25
Characteristic Intelligence Threshold                                 := 20
Characteristic Intelligence Threshhold Pct Cost Pos                   := 100
Characteristic Intelligence Threshhold Pct Cost Neg                   := 10
Characteristic Cunning Max Pct                                        := 150
Characteristic Cunning Min Pct                                        := 50
Characteristic Cunning Pct Cost                                       := 25
Characteristic Cunning Threshold                                      := 20
Characteristic Cunning Threshhold Pct Cost Pos                        := 100
Characteristic Cunning Threshhold Pct Cost Neg                        := 10
Characteristic Environmental Resistance Max Pct                       := 150
Characteristic Environmental Resistance Min Pct                       := 50
Characteristic Environmental Resistance Pct Cost                      := 25
Characteristic Environmental Resistance Threshold                     := 20
Characteristic Environmental Resistance Threshhold Pct Cost Pos       := 100
Characteristic Environmental Resistance Threshhold Pct Cost Neg       := 10
Characteristic Reproduction Max Pct                                   := 130
Characteristic Reproduction Min Pct                                   := 91
Characteristic Reproduction Pct Cost                                  := 25
Characteristic Reproduction Threshold                                 := 10
Characteristic Reproduction Threshhold Pct Cost Pos                   := 100
Characteristic Reproduction Threshhold Pct Cost Neg                   := 10
Characteristic Happiness Max Pct                                      := 150
Characteristic Happiness Min Pct                                      := 50
Characteristic Happiness Pct Cost                                     := 25
Characteristic Happiness Threshold                                    := 20
Characteristic Happiness Threshhold Pct Cost Pos                      := 100
Characteristic Happiness Threshhold Pct Cost Neg                      := 10
Characteristic Aggressiveness Max Pct                                 := 125
Characteristic Aggressiveness Min Pct                                 := 75
Characteristic Aggressiveness Pct Cost                                := 50
Characteristic Aggressiveness Threshold                               := 20
Characteristic Aggressiveness Threshhold Pct Cost Pos                 := 100
Characteristic Aggressiveness Threshhold Pct Cost Neg                 := 10
Characteristic Defensiveness Max Pct                                  := 125
Characteristic Defensiveness Min Pct                                  := 75
Characteristic Defensiveness Pct Cost                                 := 50
Characteristic Defensiveness Threshold                                := 20
Characteristic Defensiveness Threshhold Pct Cost Pos                  := 100
Characteristic Defensiveness Threshhold Pct Cost Neg                  := 10
Characteristic Political Savvy Max Pct                                := 150
Characteristic Political Savvy Min Pct                                := 50
Characteristic Political Savvy Pct Cost                               := 25
Characteristic Political Savvy Threshold                              := 20
Characteristic Political Savvy Threshhold Pct Cost Pos                := 100
Characteristic Political Savvy Threshhold Pct Cost Neg                := 10
Characteristic Mining Aptitude Max Pct                                := 150
Characteristic Mining Aptitude Min Pct                                := 50
Characteristic Mining Aptitude Pct Cost                               := 25
Characteristic Mining Aptitude Threshold                              := 20
Characteristic Mining Aptitude Threshhold Pct Cost Pos                := 100
Characteristic Mining Aptitude Threshhold Pct Cost Neg                := 10
Characteristic Farming Aptitude Max Pct                               := 150
Characteristic Farming Aptitude Min Pct                               := 50
Characteristic Farming Aptitude Pct Cost                              := 25
Characteristic Farming Aptitude Threshold                             := 20
Characteristic Farming Aptitude Threshhold Pct Cost Pos               := 100
Characteristic Farming Aptitude Threshhold Pct Cost Neg               := 10
Characteristic Refining Aptitude Max Pct                              := 150
Characteristic Refining Aptitude Min Pct                              := 50
Characteristic Refining Aptitude Pct Cost                             := 25
Characteristic Refining Aptitude Threshold                            := 20
Characteristic Refining Aptitude Threshhold Pct Cost Pos              := 100
Characteristic Refining Aptitude Threshhold Pct Cost Neg              := 10
Characteristic Construction Aptitude Max Pct                          := 150
Characteristic Construction Aptitude Min Pct                          := 50
Characteristic Construction Aptitude Pct Cost                         := 25
Characteristic Construction Aptitude Threshold                        := 20
Characteristic Construction Aptitude Threshhold Pct Cost Pos          := 100
Characteristic Construction Aptitude Threshhold Pct Cost Neg          := 10
Characteristic Repair Aptitude Max Pct                                := 150
Characteristic Repair Aptitude Min Pct                                := 50
Characteristic Repair Aptitude Pct Cost                               := 25
Characteristic Repair Aptitude Threshold                              := 20
Characteristic Repair Aptitude Threshhold Pct Cost Pos                := 100
Characteristic Repair Aptitude Threshhold Pct Cost Neg                := 10
Characteristic Maintenance Aptitude Max Pct                           := 120
Characteristic Maintenance Aptitude Min Pct                           := 80
Characteristic Maintenance Aptitude Pct Cost                          := 50
Characteristic Maintenance Aptitude Threshold                         := 10
Characteristic Maintenance Aptitude Threshhold Pct Cost Pos           := 200
Characteristic Maintenance Aptitude Threshhold Pct Cost Neg           := 5
Mood Riot Modifier                                                    := 0
Mood Angry Modifier                                                   := 80
Mood Unhappy Modifier                                                 := 90
Mood Indifferent Modifier                                             := 100
Mood Happy Modifier                                                   := 110
Mood Jubilant Modifier                                                := 120
Number of Quick Start Styles                                          := 16
Quick Start Style 1                                                   := Amonkrie
Quick Start Style 2                                                   := CueCappa
Quick Start Style 3                                                   := Drushocka
Quick Start Style 4                                                   := Eee
Quick Start Style 5                                                   := Jraenar
Quick Start Style 6                                                   := Phong
Quick Start Style 7                                                   := Terran
Quick Start Style 8                                                   := UkraTal
Quick Start Style 9                                                   := Abbidon
Quick Start Style 10                                                  := Cryslonite
Quick Start Style 11                                                  := Fazrah
Quick Start Style 12                                                  := Krill
Quick Start Style 13                                                  := Norak
Quick Start Style 14                                                  := Praetorian
Quick Start Style 15                                                  := Xiati
Quick Start Style 16                                                  := XiChung
Simultaneous Games Show Strategic Combat                              := False
Supply Amount for Low Supply Warning                                  := 1000
Num Intro Songs                                                       := 1
Intro Song 1 Filename                                                 := Space Empires IV - Track 08.mp3
Num Background Songs                                                  := 8
Background Song 1 Filename                                            := Space Empires IV - Track 01.mp3
Background Song 2 Filename                                            := Space Empires IV - Track 02.mp3
Background Song 3 Filename                                            := Space Empires IV - Track 09.mp3
Background Song 4 Filename                                            := Space Empires IV - Track 10.mp3
Background Song 5 Filename                                            := Space Empires IV - Track 11.mp3
Background Song 6 Filename                                            := Space Empires IV - Track 12.mp3
Background Song 7 Filename                                            := Space Empires IV - Track 13.mp3
Background Song 8 Filename                                            := Space Empires IV - Track 15.mp3
Num Combat Songs                                                      := 6
Combat Song 1 Filename                                                := Space Empires IV - Track 03.mp3
Combat Song 2 Filename                                                := Space Empires IV - Track 04.mp3
Combat Song 3 Filename                                                := Space Empires IV - Track 05.mp3
Combat Song 4 Filename                                                := Space Empires IV - Track 06.mp3
Combat Song 5 Filename                                                := Space Empires IV - Track 07.mp3
Combat Song 6 Filename                                                := Space Empires IV - Track 14.mp3
Combat Base To Hit Value                                              := 100
Combat To Hit Modifier Per Square Distance                            := 10        
Num Finale Lose Pictures                                              := 3
Finale Lose Picture 1                                                 := Lose001.bmp
Finale Lose Picture 2                                                 := Lose002.bmp
Finale Lose Picture 3                                                 := Lose003.bmp
Num Finale Human Dead Pictures                                        := 1
Finale Human Dead Picture 1                                           := HumnDead.bmp
Num Finale Victory Pictures                                           := 1
Finale Victory Picture 1                                              := Victory.bmp
Allow Export of Weapon And Component Data                             := False
Create Log Text Files for Players                                     := False
Create Log Text File for Game                                         := False
Intelligence Defense Modifier Percent                                 := 120
Ground Combat Damage Modifier Percent                                 := 30
Number Of Space Combat Turns                                          := 30
Number Of Ground Combat Turns                                         := 10
Ram Ship Source Modifier Percent                                      := 60
Ram Ship Target Modifier Percent                                      := 100 
AI Uses Mega Evil Empire                                              := True
AI Mega Evil Empire Threshold Score Thousands                         := 500
AI Human Mega Evil Empire Score Percent                               := 170
AI Computer Mega Evil Empire Score Percent                            := 250
Home System Percentage Value With No Spaceport                        := 25
Create Combat Replay                                                  := True
Random Player Personality Groups                                      := 4
Random Player Personality Group 1 Percent                             := 30
Random Player Personality Group 2 Percent                             := 30
Random Player Personality Group 3 Percent                             := 30
Random Player Personality Group 4 Percent                             := 10
Captured Ship Additional Reload Combat Turns                          := 10
Created Storm Maximum Obscuration Level                               := 2
Created Storm Maximum Turbulence Damage                               := 200
Created Storm Maximum Shield Disruption                               := 5000
Maximum Mines Per Player Per Sector                                   := 100
Maximum Satellites Per Player Per Sector                              := 100
Default Number Of Units Per Player                                    := 1000
Default Number Of Ships Per Player                                    := 200
Maximum Population For Abandon Planet Order                           := 50
System Ship Movement Delay Milliseconds                               := 0
Drone Supply Usage Per Turn                                           := 200
Drones Can Be Hit By Mines                                            := True
Population Mass                                                       := 5
Reproduction Check Frequency                                          := 1
Minimum Computer Player Low Setting                                   := 1
Maximum Computer Player Low Setting                                   := 3
Minimum Computer Player Medium Setting                                := 3
Maximum Computer Player Medium Setting                                := 7
Minimum Computer Player High Setting                                  := 6
Maximum Computer Player High Setting                                  := 10
Minimum Neutral Player Low Setting                                    := 1
Maximum Neutral Player Low Setting                                    := 3
Minimum Neutral Player Medium Setting                                 := 3
Maximum Neutral Player Medium Setting                                 := 7
Minimum Neutral Player High Setting                                   := 6
Maximum Neutral Player High Setting                                   := 10
Fighter Supply Usage Per Turn                                         := 5
Fighters Can Be Hit By Mines                                          := True
Maximum Planet Percent Value                                          := 250
Minimum Planet Percent Value                                          := 0
Maximum Planet Resource Value                                         := 999000000
Minimum Planet Resource Value                                         := 0
Bases Can Join Fleets                                                 := False
No Retrofit Adding Of Spaceyards                                      := True
No Retrofit Adding Of Colony Module                                   := True
Seeker Combat Defense Modifier                                        := 40
Planet Combat Offense Modifier                                        := 30
Planet Combat Defense Modifier                                        := -200

=======================================================================================
*END*
=======================================================================================
